,Address,Number of Incidents
628,200 ROBERTS AV   ,2
629,2700 BURNET AVE    ,2
630,500 W ONONDAGA ST     ,2
631,700 W  GENESEE ST     ,2
632,500 BUTTERNUT ST   ,2
633,500 W  BRIGHTON AVE    ,2
634,300 DUANE ST     ,2
635,300 ROBINSON ST     ,2
636,1200 TEALL AV   ,2
637,300 W CALTHROP AV   ,2
638,500 UNIVERSITY AVE    ,2
639,800 DANFORTH ST     ,2
640,500 IVY RIDGE RD     ,2
641,600 N LOWELL AV   ,2
642,400 BEAR ST     ,2
643,200 FIRST NORTH ST     ,2
644,1700 W GENESEE ST     ,2
645,1200 S STATE ST     ,2
646,1200 WESTCOTT ST     ,2
647,2000 SOUTH AV   ,2
648,2600 S SALINA ST     ,2
649,500 PARK AV   ,2
650,300 CLOVER RIDGE DR     ,2
651,200 COLUMBIA AV   ,2
652,200 HIXSON AV   ,2
653,400 ULSTER ST     ,2
654,200 HERRIMAN ST     ,2
655,400 E BRIGHTON AV   ,2
656,200 GRAVES ST     ,2
657,2800 MIDLAND AV   ,2
658,500 N STATE ST     ,2
659,200 WOODBINE AVE    ,2
660,500 HAWLEY AVE    ,2
661,300 FOBES AVE    ,2
662,1300 BELLEVUE AV   ,2
663,500 WALNUT AVE    ,2
664,2000 E GENESEE ST     ,2
665,500 POND ST     ,2
666,200 W CORNING AV   ,2
667,200 COMSTOCK AVE    ,2
668,700 W BRIGHTON AV   ,2
669,2000 GRANT BLVD   ,2
670,1900 W FAYETTE ST     ,2
671,800 FIRST NORTH ST     ,2
672,300 S  WARREN ST     ,2
673,500 WALNUT AV   ,2
674,300 MELROSE AV   ,2
675,700 HICKORY ST     ,2
676,900 CUMBERLAND AV   ,2
677,100 HOOD AVE    ,2
678,100 STOLP AVE    ,2
679,900 ERIE BLVD E ,2
680,700 SECOND NORTH ST     ,2
681,100 MAINS AVE    ,2
682,100 HUNTER AVE    ,2
683,100 STEWART CT     ,2
684,100 JAMESVILLE AV   ,2
685,300 TURTLE ST     ,2
686,100 MAPLE TER    ,2
687,100 SUNNYCREST RD     ,2
688,100 JOHN ST     ,2
689,400 ASH ST     ,2
690,100 TYLER CT     ,2
691,100 S MIDLER AV   ,2
692,400 ALLEN ST     ,2
693,100 UPLAND RD     ,2
694,100 KENMORE AV   ,2
695,100 STOLP AV   ,2
696,100 HOOD AV   ,2
697,100 PENTA DR     ,2
698,900 N STATE ST     ,2
699,100 POND ST     ,2
700,800 S STATE ST     ,2
701,100 PUTNAM ST     ,2
702,900 WESTMORELAND AV   ,2
703,100 MAINS AV   ,2
704,900 W BELDEN AV   ,2
705,100 GRAY AV   ,2
706,100 GRAY AVE    ,2
707,100 GRIFFIN ST     ,2
708,100 GRUMBACH AV   ,2
709,100 GRIFFITHS ST     ,2
710,100 GRUMBACH AVE    ,2
711,100 HAROLD ST     ,2
712,100 HARTSON ST     ,2
713,900 SALT SPRINGS RD     ,2
714,100 HAWTHORNE ST     ,2
715,100 HERALD PL     ,2
716,300 SALT SPRINGS RD     ,2
717,100 SEWARD ST     ,2
718,100 SEYMOUR ST     ,2
719,1200 IVY RIDGE RD     ,2
720,400 HICKOK AV   ,2
721,100 MCALLISTER AV   ,2
722,100 S SALINA ST     ,2
723,100 SCOTTHOLM TER    ,2
724,100 MCKINLEY AV   ,2
725,3000 S SALINA ST     ,2
726,400 TOMPKINS ST     ,2
727,100 TITUS AL     ,2
728,400 TIOGA ST     ,2
729,100 TRUTH TER    ,2
730,100 MILBURN DR     ,2
731,100 SHIRLEY RD     ,2
732,100 MILDRED AVE    ,2
733,100 VALLEY VIEW DR     ,2
734,100 SHONNARD ST     ,2
735,4700 S  SALINA ST     ,2
736,1000 COL EILEEN COLLINS BLVD   ,2
737,400 UNION PL     ,2
738,1000 BELLEVUE AV   ,2
739,100 MAY AVE    ,2
740,100 MARTIN ST     ,2
741,100 RICH ST     ,2
742,100 RICHARDSON AV   ,2
743,1200 VALLEY DR     ,2
744,400 JOHN ST     ,2
745,100 MARTIN LUTHER KING      W ,2
746,100 RICHMOND AV   ,2
747,1100 BUTTERNUT ST     ,2
748,1200 W  GENESEE ST     ,2
749,1100 N TOWNSEND ST     ,2
750,100 RIDGEWAY AV   ,2
751,100 KIRK PARK DR     ,2
752,1200 W GENESEE ST     ,2
753,1100 E  GENESEE ST     ,2
754,300 S GEDDES ST     ,2
755,100 MATHER ST     ,2
756,100 SIXTH NORTH ST     ,2
757,100 POND LN     ,2
758,100 PECK AV   ,2
759,1000 DANFORTH ST     ,2
760,900 AVERY AVE    ,2
761,700 OSTROM AVE    ,2
762,800 HIGHLAND ST     ,2
763,0 SCHOENECK CT     ,2
764,0 BRATTLE RD     ,2
765,0 STONE CT     ,2
766,700 N STATE ST     ,2
767,800 E WILLOW ST     ,2
768,100 CROTON TER    ,2
769,100 CULBERT ST     ,2
770,100 CUMMINGS AV   ,2
771,100 CURTIS ST     ,2
772,700 LODI ST     ,2
773,800 SALT SPRINGS RD     ,2
774,100 MERRIMAN AV   ,2
775,100 E  BISSELL ST     ,2
776,800 S  STATE ST     ,2
777,100 E  WATER ST     ,2
778,700 PARK AV   ,2
779,900 CALEB AVE    ,2
780,100 PALMER AV   ,2
781,700 POND ST     ,2
782,700 HAWLEY AVE    ,2
783,700 E LAUREL ST     ,2
784,700 E ADAMS ST     ,2
785,700 E  FAYETTE ST     ,2
786,100 ANGELOU TER    ,2
787,100 AVONDALE PL     ,2
788,100 BERWYN AVE    ,2
789,100 BLOSSOM RD     ,2
790,100 CHATHAM RD     ,2
791,100 CLIFFSIDE DR     ,2
792,100 COLERIDGE AVE    ,2
793,600 W LAFAYETTE AV   ,2
794,100 DAVIS ST     ,2
795,600 VINE ST     ,2
796,100 E GENESEE ST     ,2
797,0 MACDOUGALL PL     ,2
798,700 S BEECH ST     ,2
799,800 E  BRIGHTON AVE    ,2
800,100 E BEARD AV   ,2
801,800 S CROUSE AV   ,2
802,800 COMSTOCK AV   ,2
803,100 ALEXANDER AV   ,2
804,100 LAMBRETH LN     ,2
805,100 LATIMER TER    ,2
806,600 LEMOYNE AVE    ,2
807,100 E WATER ST     ,2
808,100 ELDORADO ST     ,2
809,600 GIFFORD ST     ,2
810,100 FERNWOOD AVE    ,2
811,600 E COLVIN ST     ,2
812,100 N  SALINA ST     ,2
813,600 E  SENECA TPKE   ,2
814,100 FORD AVE    ,2
