X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8479243.31184656,5320550.40072288,2023/02/03 00:00:00+00,1000,1000,800 N GEDDES ST     ,,All Other,LARCENY,43.056334065,-76.170338648,6319
-8474136.40096449,5317527.64900924,2023/11/06 00:00:00+00,2226,2226,800 ACKERMAN AV   ,,All Other,ROBBERY,43.0364900110001,-76.124462487,6320
-8476201.57121462,5320346.27976116,2023/03/20 00:00:00+00,2140,2147,700 JAMES ST     ,,,AGGRAVATED ASSAULT,43.054994234,-76.143014227,6321
-8476972.82782379,5320907.67627197,2023/11/14 00:00:00+00,2300,2300,800 N TOWNSEND ST     ,Yes,,AGGRAVATED ASSAULT,43.058679118,-76.149942543,6322
-8474136.40096449,5317527.64900924,2023/06/18 00:00:00+00,0830,855,800 ACKERMAN AVE    ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6323
-8476201.57121462,5320346.27976116,2023/08/25 00:00:00+00,2243,2243,700 JAMES ST     ,Yes,,AGGRAVATED ASSAULT,43.054994234,-76.143014227,6324
-8476972.82782379,5320907.67627197,2023/02/10 00:00:00+00,0023,23,800 N TOWNSEND ST     ,Yes,,AGGRAVATED ASSAULT,43.058679118,-76.149942543,6325
-8474136.40096449,5317527.64900924,2023/09/10 00:00:00+00,2215,1200,800 ACKERMAN AVE    ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6326
-8476201.57121462,5320346.27976116,2023/04/13 00:00:00+00,1635,1635,700 JAMES ST     ,,Of MV Parts/Accessories,LARCENY,43.054994234,-76.143014227,6327
-8474558.16157204,5317498.83909595,2023/11/03 00:00:00+00,2310,1700,800 OSTROM AV   ,,From Motor Vehicle,LARCENY,43.0363008460001,-76.128251227,6328
-8474136.40096449,5317527.64900924,2023/10/09 00:00:00+00,2330,1345,800 ACKERMAN AVE    ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6329
-8476201.57121462,5320346.27976116,2023/01/11 00:00:00+00,0223,223,700 JAMES ST     ,,,AGGRAVATED ASSAULT,43.054994234,-76.143014227,6330
-8477248.19506331,5320745.96724576,2023/11/05 00:00:00+00,1120,1123,800 N STATE ST     ,,All Other,LARCENY,43.0576177180001,-76.152416209,6331
-8474136.40096449,5317527.64900924,2023/12/20 00:00:00+00,1507,1507,800 ACKERMAN AVE    ,,All Other,LARCENY,43.0364900110001,-76.124462487,6332
-8476201.57121462,5320346.27976116,2023/03/28 00:00:00+00,0000,1720,700 JAMES ST     ,,From Building,LARCENY,43.054994234,-76.143014227,6333
-8476972.82782379,5320907.67627197,2023/04/10 00:00:00+00,0133,133,800 N TOWNSEND ST     ,,From Building,BURGLARY,43.058679118,-76.149942543,6334
-8481955.13835454,5319960.06893805,2023/09/13 00:00:00+00,1815,1815,800 AVERY AVE    ,,All Other,LARCENY,43.0524591020001,-76.1946993999999,6335
-8476201.57121462,5320346.27976116,2023/02/06 00:00:00+00,0745,745,700 JAMES ST     ,Yes,,AGGRAVATED ASSAULT,43.054994234,-76.143014227,6336
